2024-05-23 16:36:01,653 DEBUG:Logger has been configured and this is a test message.
2024-05-23 16:36:01,774 INFO:ROS node initialized.
2024-05-23 16:36:03,808 INFO:Class detected: car, with confidence: 0.4
2024-05-23 16:36:03,808 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,808 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,814 INFO:Published 'not pass' message.
2024-05-23 16:36:03,848 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,849 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,849 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,849 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,849 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,849 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,849 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:03,849 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,849 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,849 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:03,850 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,850 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,855 INFO:Published 'not pass' message.
2024-05-23 16:36:03,896 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,897 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,897 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,897 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,897 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,897 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,897 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,898 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,898 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,898 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:03,898 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,898 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,904 INFO:Published 'not pass' message.
2024-05-23 16:36:03,940 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,941 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,941 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,941 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,941 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,941 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,941 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,941 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,941 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,942 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:03,942 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,942 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,942 INFO:Class detected: car, with confidence: 0.25
2024-05-23 16:36:03,947 INFO:Published 'not pass' message.
2024-05-23 16:36:03,989 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,989 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,990 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,990 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,990 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,990 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,990 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,990 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,990 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,990 INFO:Class detected: car, with confidence: 0.4
2024-05-23 16:36:03,990 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,990 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,995 INFO:Published 'not pass' message.
2024-05-23 16:36:04,097 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.4
2024-05-23 16:36:04,098 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:04,098 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:04,103 INFO:Published 'not pass' message.
2024-05-23 16:36:04,144 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:04,145 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:04,145 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:04,145 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:04,145 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:04,145 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:04,145 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:04,145 INFO:Class detected: car, with confidence: 0.72
